,ID,Resort,Latitude_x,Longitude_x,Country_x,Continent_x,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Resort Name,Continent_y,Country_y,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/beginner lift,Sunkid Moving Carpet,Adult,Youth,Child,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Combined installation (gondola and chair),People mover,Cog railway,Funicular,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing,harvesine_distance,Month,Latitude_y,Longitude_y,Snow
31,358,Jahorina,43.7233441,18.59622766,Bosnia and Herzegovina,Europe,20,Unknown,1889,920,3,19,3,25,0,0,5,5,1,11,16230,Yes,No,Yes,No,jahorina,Europe,Bosnia and Herzegovina,Republika Srpska,http://www.skiresort.info/ski-resort/jahorina/,1889,3.0,19.0,3.0,,0.0,0.0,0.0,0.0,,"BAM 45,- ",0,"BAM 35,-",2.6,2.9,3.9,,,,,,,,,,,,,,,,,,,,,,5200.367618362012,2022-02-01,43.625,18.875,16.93
32,137,Crans-Montana,46.3304899,7.526435804,Switzerland,Europe,60,November - April,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,Yes,No,No,crans-montana,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/crans-montana/,2927,55.0,70.0,15.0,,0.0,0.0,0.0,,0.0,"SFr. 69,- ","SFr. 52,-","SFr. 39,-",4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,,,,0.0,,,5203.909271877901,2022-03-01,39.875,26.875,3.15
33,473,Torrent-Leukerbad,46.3728566,7.6541765,Switzerland,Europe,46,December - April,2610,1411,3,26,16,45,11,40,8,1,5,14,11390,Yes,Yes,No,No,torrent-leukerbad,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/torrent-leukerbad/,2610,3.5,26.9,16.8,0.0,0.0,0.0,0.0,0.0,0.0,"SFr. 55,- ","SFr. 45,-","SFr. 35,-",3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,,,,,,5210.317982932449,2022-01-01,46.125,9.375,0.79
34,281,Belalp-Blatten,46.3648823,7.9796899,Switzerland,Europe,49,December - April,3118,1322,20,20,20,60,0,0,8,3,2,13,13640,Yes,Yes,No,No,belalp-blatten,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/belalp-blatten/,3118,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,,"SFr. 56,- ","SFr. 48,-","SFr. 28,-",3.3,3.7,3.7,,,,,,,,,,,,,,,,,0.0,,,,,5214.100938927018,2022-03-01,41.125,24.875,0.39
35,86,Bansko,41.8344086,23.4841698,Bulgaria,Europe,30,December - April,2560,990,20,24,3,47,16,380,7,8,2,17,24233,Yes,Yes,Yes,No,bansko,Europe,Bulgaria,Blagoevgrad,http://www.skiresort.info/ski-resort/bansko/,2560,20.0,24.5,3.7,,0.0,0.0,0.0,,0.0,"BGN 58,- ","BGN 52,-","BGN 40,-",3.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,,0.0,,,,,5214.279801291725,2022-02-01,38.875,28.625,0.39
36,451,Bellwald,46.4237017,8.1599477,Switzerland,Europe,45,December - April,1600,1204,9,21,6,36,6,26,3,2,1,6,4620,Yes,Yes,No,No,bellwald,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/bellwald/,2558,9.0,21.0,6.0,0.0,,0.0,0.0,,0.0,"SFr. 51,- ","SFr. 46,-","SFr. 36,-",3.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,,,,,,,5223.175834306036,2022-04-01,46.125,10.125,1.57
37,434,Lavarone,45.94128935,11.28863808,Italy,Europe,36,December - April,1650,1150,19,5,2,26,0,70,9,6,0,15,12040,Yes,No,No,No,lavarone,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),http://www.skiresort.info/ski-resort/lavarone/,1650,19.7,5.4,2.2,,,0.0,0.0,,0.0,"€ 36,- ","€ 26,-","€ 20,-",2.7,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,5226.655596335716,2022-12-01,45.875,11.625,34.65
38,330,Aprica,46.152697,10.151656,Italy,Europe,38,November - May,2270,1162,28,14,7,49,0,0,10,4,2,16,13965,Yes,Yes,No,No,aprica,Europe,Italy,Lombardy,http://www.skiresort.info/ski-resort/aprica/,2270,28.3,14.0,7.7,,0.0,0.0,0.0,,,"€ 39,- ","€ 30,-","€ 25,-",3.3,3.6,3.9,,,,,,,,,,,,,,,,,0.0,,,,,5227.072628659551,2022-03-01,42.375,22.625,0.39
39,312,Kopaonik,43.2689885,20.826741,Serbia,Europe,30,December - April,2017,1057,30,19,6,55,0,315,14,13,0,27,35052,Yes,Yes,Yes,No,kopaonik,Europe,Serbia,Serbia-South,http://www.skiresort.info/ski-resort/kopaonik/,2017,30.0,19.0,6.0,,,0.0,0.0,,0.0,"RSD 3550,- ","RSD 3550,-","RSD 2700,-",3.3,3.6,3.5,,,,,,,,,,,,,,,,,0.0,,,,,5238.620728003071,2022-01-01,40.125,27.125,20.47
40,376,Paganella-Andalo,46.1572963,11.00551108,Italy,Europe,40,November - April,2125,1030,9,22,1,32,6,0,4,12,2,18,23996,Yes,Yes,Yes,No,paganella-andalo,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),http://www.skiresort.info/ski-resort/paganella-andalo/,2125,9.6,22.5,1.2,,0.0,0.0,,,,"€ 41,- ","€ 29,-","€ 21,-",3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,,0.0,,,,,5244.054139215704,2022-01-01,39.875,27.625,12.99
